1 2 2
1 3 4
1 4 1
1 5 2
1 6 1
1 7 1
1 8 1
1 9 1
1 10 2
1 11 1
1 12 2
1 13 1
1 14 1
1 15 1
1 16 1
2 3 47
2 4 7
2 5 29
2 6 2
2 7 1
2 8 5
2 10 4
2 11 3
2 12 6
2 14 11
2 15 7
2 17 2
2 18 12
2 19 17
2 20 5
2 21 1
2 22 8
2 24 3
2 27 1
2 28 3
2 29 1
2 30 1
2 31 2
2 32 2
2 33 8
3 4 17
3 5 38
3 6 5
3 7 2
3 8 3
3 9 2
3 10 8
3 11 3
3 12 5
3 14 18
3 15 10
3 16 2
3 17 2
3 18 10
3 19 28
3 20 17
3 21 2
3 22 16
3 23 1
3 24 5
3 26 3
3 27 6
3 28 5
3 32 3
3 33 17
3 34 1
3 35 1
3 36 1
3 37 1
4 5 14
4 6 2
4 10 2
4 13 1
4 14 2
4 15 1
4 17 1
4 18 1
4 19 15
4 20 4
4 29 1
4 32 1
4 33 6
4 35 1
5 6 5
5 8 2
5 10 13
5 11 1
5 12 1
5 14 7
5 15 4
5 18 6
5 19 20
5 20 8
5 22 1
5 23 1
5 24 1
5 25 1
5 27 2
5 28 2
5 29 2
5 30 2
5 32 1
5 33 16
5 35 1
6 10 1
6 15 1
6 19 7
6 20 1
6 21 2
6 31 1
7 8 2
7 9 2
7 10 2
7 11 4
7 12 1
7 13 2
7 16 1
7 19 1
7 24 1
7 28 1
7 29 6
7 30 2
7 31 3
7 32 1
7 34 1
7 35 2
7 36 3
7 37 1
7 38 2
7 39 2
7 41 2
7 42 2
7 43 1
8 9 2
8 10 3
8 11 4
8 12 1
8 14 2
8 16 1
8 18 1
8 19 2
8 22 1
8 25 3
8 28 2
8 32 4
8 35 1
8 36 1
8 38 1
8 43 2
9 10 1
9 11 4
9 12 1
9 13 3
9 16 3
9 28 2
9 29 1
9 30 1
9 31 1
9 32 1
9 34 1
9 35 3
9 36 2
9 38 4
9 39 4
9 40 1
9 41 1
9 42 1
9 43 7
10 11 1
10 12 1
10 14 2
10 15 1
10 16 1
10 19 5
10 20 2
10 22 1
10 23 1
10 28 2
10 29 3
10 30 1
10 32 1
10 35 1
10 36 1
10 38 1
11 12 2
11 13 2
11 14 1
11 16 3
11 21 1
11 25 1
11 29 1
11 30 2
11 32 8
11 34 2
11 35 3
11 36 3
11 37 2
11 38 6
11 40 1
11 43 6
12 13 1
12 14 2
12 16 1
12 18 1
12 19 4
12 22 1
12 33 1
12 38 1
13 16 2
13 18 1
13 28 2
13 35 2
13 36 2
13 38 3
13 43 2
14 15 2
14 18 2
14 19 5
14 20 2
14 22 4
14 24 1
14 26 1
14 27 1
14 28 2
14 33 1
14 37 1
15 19 2
15 20 2
15 22 1
15 33 7
16 19 1
16 28 1
16 35 2
16 36 2
16 38 2
16 43 2
17 18 1
17 19 3
17 20 2
17 21 1
18 19 18
18 20 1
18 22 1
18 23 3
18 24 1
18 25 1
19 20 9
19 21 4
19 22 7
19 23 3
19 24 1
19 25 1
19 26 1
19 30 1
19 31 2
19 32 1
19 33 4
19 35 2
19 36 2
19 38 1
20 21 1
20 22 7
20 26 2
20 28 3
20 29 2
20 33 2
20 42 1
21 22 2
21 32 1
22 23 1
22 26 2
22 27 1
22 28 3
22 33 1
24 25 1
25 32 1
26 27 1
26 28 1
27 33 1
28 29 1
29 30 5
29 31 4
29 32 5
29 35 5
29 36 5
29 37 1
29 38 3
29 39 2
29 41 5
29 42 4
30 31 6
30 32 9
30 41 2
30 42 1
31 32 6
31 33 1
31 34 1
31 35 4
31 36 2
31 38 1
31 39 1
31 41 2
31 42 1
31 43 1
32 35 2
32 36 2
32 41 2
32 42 1
34 35 9
34 36 8
34 37 1
34 38 6
34 43 6
35 36 22
35 37 1
35 38 15
35 43 12
36 37 1
36 38 13
36 39 1
36 41 1
36 42 1
36 43 10
38 39 4
38 40 4
38 41 3
38 42 1
38 43 17
39 40 3
39 41 4
39 42 3
39 43 1
40 41 2
40 42 1
40 43 1
41 42 4
